well_position	broad_sample	solvent
O12	BRD-K56301217-001-07-4	DMSO
O13	BRD-K61397605-001-07-5	DMSO
O14		DMSO
O15	BRD-K72898849-001-01-8	DMSO
O16	BRD-K53972329-001-07-0	DMSO
O17	BRD-K13094524-001-04-2	DMSO
O18	BRD-K19871656-001-01-3	DMSO
O19		DMSO
O20	BRD-K60130390-001-02-1	DMSO
O21	Compound3	DMSO
O22	BRD-K24696047-001-02-3	DMSO
O23	BRD-K32730239-001-01-0	DMSO
O24	Compound5	DMSO
P01	BRD-K98203492-003-04-1	DMSO
P02		DMSO
P03	BRD-K64881305-001-05-2	DMSO
P04	Compound3	DMSO
P05	Compound2	DMSO
P06	BRD-K70446295-001-01-7	DMSO
P07	BRD-K12511835-003-01-2	DMSO
P08	BRD-K12511835-003-01-2	DMSO
P09	BRD-K94455792-001-01-8	DMSO
P10	BRD-K13094524-001-04-2	DMSO
P11		DMSO
P12	BRD-K98203492-003-04-1	DMSO
P13	BRD-K25611237-001-02-1	DMSO
P14	BRD-M87138257-003-01-1	DMSO
P15	BRD-M87138257-003-01-1	DMSO
P16	BRD-K63631219-001-01-6	DMSO
P17	BRD-K28132190-001-02-0	DMSO
P18	BRD-K03063480-001-06-6	DMSO
P19	BRD-K57080016-001-01-9	DMSO
P20	BRD-K16803204-001-01-6	DMSO
P21	BRD-K02965346-001-07-5	DMSO
P22	BRD-K85776940-001-01-9	DMSO
P23	BRD-K19477839-001-07-6	DMSO
P24	Compound6	DMSO
